Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1917,-.58,-.64,-.64,-.56,-.56,-.44,-.26,-.23,-.23,-.45,-.35,-.69,-.47,-.48,-.68,-.58,-.31,-.34
1918,-.48,-.35,-.25,-.45,-.44,-.37,-.32,-.32,-.17,-.06,-.12,-.30,-.30,-.34,-.51,-.38,-.34,-.12
1919,-.21,-.24,-.22,-.13,-.28,-.37,-.30,-.34,-.26,-.21,-.42,-.43,-.28,-.27,-.25,-.21,-.33,-.30
1920,-.26,-.27,-.13,-.25,-.27,-.36,-.31,-.27,-.22,-.27,-.28,-.47,-.28,-.28,-.32,-.22,-.31,-.26
1921,-.06,-.19,-.24,-.30,-.31,-.28,-.16,-.27,-.20,-.04,-.16,-.19,-.20,-.22,-.24,-.28,-.23,-.13
1922,-.35,-.46,-.16,-.24,-.34,-.31,-.28,-.34,-.36,-.32,-.15,-.20,-.29,-.29,-.33,-.24,-.31,-.28
1923,-.28,-.40,-.35,-.42,-.34,-.30,-.32,-.34,-.32,-.14,-.03,-.04,-.27,-.29,-.29,-.37,-.32,-.16
1924,-.23,-.24,-.09,-.31,-.19,-.27,-.30,-.37,-.33,-.36,-.21,-.44,-.28,-.25,-.17,-.20,-.31,-.30
1925,-.39,-.40,-.28,-.26,-.30,-.33,-.28,-.21,-.20,-.18,.04,.06,-.23,-.27,-.41,-.28,-.28,-.11
1926,.20,.02,.11,-.13,-.24,-.27,-.28,-.14,-.15,-.12,-.07,-.30,-.11,-.08,.09,-.09,-.23,-.11
1927,-.28,-.18,-.39,-.31,-.26,-.28,-.19,-.24,-.13,-.01,-.06,-.34,-.22,-.22,-.25,-.32,-.24,-.07
1928,-.03,-.10,-.25,-.28,-.30,-.39,-.20,-.23,-.21,-.19,-.11,-.17,-.21,-.22,-.16,-.28,-.27,-.17
1929,-.45,-.59,-.33,-.42,-.38,-.44,-.37,-.33,-.26,-.15,-.12,-.55,-.37,-.33,-.40,-.38,-.38,-.18
1930,-.30,-.27,-.11,-.25,-.24,-.22,-.22,-.16,-.16,-.12,.17,-.06,-.16,-.20,-.38,-.20,-.20,-.04
1931,-.11,-.21,-.11,-.23,-.20,-.08,-.04,-.04,-.07,.06,-.06,-.05,-.09,-.09,-.13,-.18,-.05,-.02
1932,.15,-.17,-.18,-.06,-.18,-.29,-.25,-.22,-.10,-.09,-.27,-.27,-.16,-.14,-.03,-.14,-.25,-.16
1933,-.23,-.30,-.30,-.24,-.29,-.34,-.21,-.24,-.29,-.25,-.31,-.45,-.29,-.27,-.27,-.28,-.26,-.28
1934,-.21,-.03,-.29,-.31,-.10,-.15,-.11,-.13,-.15,-.07,.03,-.03,-.13,-.16,-.23,-.23,-.13,-.06
1935,-.35,.14,-.14,-.37,-.29,-.27,-.22,-.22,-.21,-.06,-.26,-.18,-.20,-.19,-.08,-.27,-.24,-.18
1936,-.28,-.38,-.21,-.20,-.16,-.22,-.10,-.14,-.09,-.03,.01,-.01,-.15,-.17,-.28,-.19,-.15,-.04
1937,-.08,.03,-.21,-.16,-.06,-.05,-.04,.01,.09,.08,.07,-.08,-.03,-.03,-.02,-.14,-.02,.08
1938,.08,.03,.09,.06,-.10,-.17,-.09,-.06,.00,.14,.07,-.13,-.01,.00,.01,.02,-.11,.07
1939,-.06,-.07,-.18,-.11,-.05,-.07,-.06,-.06,-.08,-.04,.07,.42,-.02,-.07,-.08,-.11,-.07,-.02
1940,-.01,.08,.09,.17,.10,.11,.12,.06,.15,.11,.16,.31,.12,.13,.16,.12,.10,.14
1941,.17,.30,.10,.16,.16,.12,.22,.14,.02,.35,.22,.21,.18,.19,.26,.14,.16,.19
1942,.29,.02,.05,.09,.10,.04,.00,-.04,-.03,.01,.09,.12,.06,.07,.17,.08,.00,.02
1943,-.01,.17,-.04,.11,.06,-.06,.08,.00,.05,.23,.19,.23,.08,.08,.09,.04,.01,.16
1944,.36,.24,.26,.19,.18,.15,.17,.18,.28,.26,.11,.03,.20,.22,.27,.21,.17,.22
1945,.10,.01,.06,.19,.06,.00,.03,.26,.20,.18,.06,-.07,.09,.10,.05,.10,.10,.15
1946,.15,.02,.01,.05,-.07,-.22,-.13,-.20,-.08,-.08,-.06,-.31,-.08,-.06,.03,.00,-.18,-.07
1947,-.07,-.08,.06,.06,-.02,-.02,-.04,-.07,-.12,.07,.02,-.13,-.03,-.04,-.15,.03,-.04,-.01
1948,.06,-.15,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.13,-.24,-.11,-.10,-.07,-.12,-.09,-.11
1949,.06,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.07,-.10,-.18,-.11,-.12,-.11,-.08,-.18,-.10
